feature,importance
rdMD_167,0.04834861668244336
rdMD_123,0.046229626861723536
rdMD_97,0.04299221841368907
rdMD_68,0.032487748071986976
rdMD_2,0.020535244207324842
rdMD_70,0.01451110268062178
rdMD_171,0.013789404985709878
rdMD_166,0.013197261744754815
rdMD_52,0.010794727799097018
rdMD_76,0.00945051770575521
rdMD_245,0.008944493046047584
rdMD_18,0.008652791895601947
rdMD_254,0.008409730262854262
rdMD_305,0.007994589952952982
rdMD_229,0.007953673182024253
rdMD_9,0.007734587681120807
rdMD_270,0.006920687012506483
rdMD_253,0.006833227644710954
rdMD_301,0.006367398157426047
rdMD_168,0.006240663167206879
