mse,rmse,mae,r2,pearson_r,n_estimators,random_state,train_shape,test_shape,n_features,dataset
0.44260523466007407,0.6652858292945026,0.4601301789655173,0.20579277417725883,0.4618254498511206,100,0,"(1738, 5)","(435, 5)",5,Sol
0.4010545661706018,0.6332886910174552,0.4365694314482759,0.28035095507507046,0.5307444562288708,100,0,"(1738, 10)","(435, 10)",10,Sol
0.4023684992727864,0.6343252314647324,0.434725246,0.2779932442251206,0.5296185033437817,100,0,"(1738, 15)","(435, 15)",15,Sol
0.3987375551593653,0.6314566930196919,0.43406331420689664,0.28450858074989593,0.5347275691002866,100,0,"(1738, 20)","(435, 20)",20,Sol
0.40020288596196524,0.6326159071363644,0.43173073105287363,0.2818792031002183,0.5320401184262961,100,0,"(1738, 25)","(435, 25)",25,Sol
0.402883061904918,0.6347307003012522,0.4322142873287357,0.2770699172317307,0.527392092473611,100,0,"(1738, 30)","(435, 30)",30,Sol
