feature,importance
rdMD_123,0.25684340263589994
rdMD_2,0.02660666137735953
rdMD_255,0.023790012862842335
rdMD_68,0.017387775988967315
rdMD_166,0.016655105029695798
rdMD_65,0.009549245267359972
rdMD_57,0.009322756831006014
rdMD_294,0.00931080088523577
rdMD_73,0.008796493677067226
rdMD_64,0.008771116865621384
rdMD_239,0.007808000807659925
rdMD_177,0.007368826523562015
rdMD_309,0.007102059839056464
rdMD_18,0.006579021161264923
rdMD_266,0.006387272031773506
rdMD_167,0.006325851327632706
rdMD_247,0.006080731704713728
rdMD_74,0.005856958361134663
rdMD_300,0.005826290657565998
rdMD_245,0.005775075184525252
