Dataset;Muestras totales;MSE;R2
HLM;2469;965 (39,1%);1560 (63,2%)
MDR1_ER;2113;1390 (65,8%);1390 (65,8%)
RLM;2443;2320 (95,0%);2320 (95,0%)
Sol;1738;930 (53,5%);930 (53,5%)
hPPB;1446;1405 (97,2%);1405 (97,2%)
rPPB;708;670 (94,6%);670 (94,6%)
