Dataset;Muestras totales;MSE;R2
HLM;2469;1050 (42,5%);1050 (42,5%)
MDR1_ER;2113;1580 (74,8%);1580 (74,8%)
RLM;2443;1485 (60,8%);1485 (60,8%)
Sol;1738;1110 (63,9%);1110 (63,9%)
hPPB;1446;1425 (98,5%);1420 (98,2%)
rPPB;708;705 (99,6%);705 (99,6%)
