feature,importance
rdMD_123,0.23802350228109415
rdMD_124,0.028123317776507492
fcfp4_25,0.02016939948946662
rdMD_50,0.01980635940777053
fcfp4_33,0.018427377308383203
rdMD_261,0.015108412902634174
rdMD_1,0.01099750726087699
rdMD_277,0.010116355827007976
fcfp4_927,0.009344783955716345
rdMD_64,0.008678996082541416
rdMD_25,0.0073743774083405685
rdMD_309,0.007038649157714508
rdMD_313,0.006536312537359617
rdMD_312,0.0064470171798120335
rdMD_61,0.005792656247714579
rdMD_270,0.005689019043292953
rdMD_230,0.005523035263503505
rdMD_45,0.005511838960514416
rdMD_275,0.005496352891659348
rdMD_245,0.00526960163925199
