mse,rmse,mae,r2,pearson_r,n_estimators,random_state,train_shape,test_shape,n_features,dataset
0.28490012400547104,0.533760361965434,0.4157819929140469,0.25655855506143666,0.5317485536664222,100,0,"(2469, 5)","(618, 5)",5,HLM
0.27996623507238383,0.5291183563933346,0.4180761370550163,0.2694334442191202,0.530606894230343,100,0,"(2469, 10)","(618, 10)",10,HLM
0.2628443180998363,0.5126834482405652,0.40435414570388356,0.31411276030795543,0.5656452241461218,100,0,"(2469, 15)","(618, 15)",15,HLM
0.2636454438688485,0.5134641602574113,0.40531452200647256,0.31202223787883754,0.563105240766729,100,0,"(2469, 20)","(618, 20)",20,HLM
0.25483419036549215,0.5048110442190148,0.3981881773139159,0.3350150360010645,0.5808968449324355,100,0,"(2469, 25)","(618, 25)",25,HLM
0.25487017241081183,0.5048466820835924,0.4000579645792881,0.33492114153942576,0.5809107076439365,100,0,"(2469, 30)","(618, 30)",30,HLM
