feature,importance
rdMD_123,0.2595125345099336
rdMD_71,0.012072302894645288
fcfp4_807,0.01016601538844771
rdMD_1,0.009648751052179468
fcfp4_33,0.008767056534385583
rdMD_312,0.008492565596351946
rdMD_277,0.008153488650549465
rdMD_266,0.007573516986247401
rdMD_261,0.007380312384205143
rdMD_50,0.00682363202225601
rdMD_20,0.006789406302686294
rdMD_30,0.006175728848696469
rdMD_52,0.005720939621059384
fcfp4_25,0.0056996354997846015
rdMD_76,0.005325577151375768
rdMD_221,0.005324782817761963
rdMD_315,0.005181173402315049
rdMD_314,0.005098085101854031
rdMD_264,0.004880006592811049
rdMD_29,0.004599865749322407
