n_features,HLM,MDR1_ER,RLM,Sol,hPPB,rPPB,mean_rmse
5,0.533760361965434,0.5538976533842523,0.6800647583185896,0.6652858292945026,0.5648191351398563,0.5554567445174989,0.592214080436689
10,0.5291183563933346,0.5371547672378878,0.6116381236456173,0.6332886910174552,0.5413059881287343,0.5301152134133796,0.5637701899727349
15,0.5126834482405652,0.5096002813270858,0.5928354049393062,0.6343252314647324,0.5210640723211544,0.541228988781412,0.5519562378457094
20,0.5134641602574113,0.5007507849568866,0.5886298014110288,0.6314566930196919,0.5098282845920987,0.5381460783077113,0.5470459670908048
25,0.5048110442190148,0.5003232925503567,0.592320018156109,0.6326159071363644,0.5175421069337139,0.5467754751725957,0.5490646406946924
30,0.5048466820835924,0.495021408975617,0.581388822474583,0.6347307003012522,0.5180334020704309,0.5460044487374474,0.5466709107738205
