feature,importance
rdMD_123,0.3287371400209521
rdMD_4,0.018820076161615955
rdMD_73,0.014844331717128496
rdMD_309,0.012818864981507057
rdMD_2,0.011568660937441765
rdMD_16,0.009649229754971953
rdMD_68,0.0067267874843545215
rdMD_266,0.006630520065470827
rdMD_70,0.00646365915489542
rdMD_64,0.005810295783814967
rdMD_67,0.005743188705723392
rdMD_314,0.005272511299078176
rdMD_303,0.005139427878771109
rdMD_225,0.00503446216182232
rdMD_18,0.004936446572327926
rdMD_1,0.004788292778258351
rdMD_238,0.004691381229179215
rdMD_177,0.004667259958739247
rdMD_74,0.0044534341566362864
rdMD_272,0.004184867020851075
