feature,importance
rdMD_26,0.1458692927047192
rdMD_1,0.052704975661963055
rdMD_22,0.03448421240505725
rdMD_61,0.02984833231598319
rdMD_23,0.02462689997901468
rdMD_10,0.020228155563669744
rdMD_101,0.019307913090997577
rdMD_123,0.014473109052508619
rdMD_70,0.014099463989136902
rdMD_24,0.012976575748424401
rdMD_28,0.009479613278455147
rdMD_45,0.009044695261904668
rdMD_71,0.007149631388614213
rdMD_52,0.0071004786113919235
rdMD_2,0.006781454034223193
rdMD_30,0.006490980432708388
rdMD_19,0.006192715827771973
rdMD_6,0.006089261705437618
rdMD_217,0.006010878403979959
fcfp4_969,0.005139977917236804
