mse,rmse,mae,r2,pearson_r,n_estimators,random_state,train_shape,test_shape,n_features,dataset
0.30680261042458135,0.5538976533842523,0.43184918770951475,0.39466880993374787,0.6296493129759512,100,0,"(2113, 5)","(529, 5)",5,MDR1_ER
0.28853524396638947,0.5371547672378878,0.42092909095841213,0.4307108979140647,0.6575046559212795,100,0,"(2113, 10)","(529, 10)",10,MDR1_ER
0.25969244672864494,0.5096002813270858,0.3994866316257089,0.4876186431011136,0.7026590465929756,100,0,"(2113, 15)","(529, 15)",15,MDR1_ER
0.2507513486349381,0.5007507849568866,0.39150965731569,0.5052597105681491,0.7165451259431943,100,0,"(2113, 20)","(529, 20)",20,MDR1_ER
0.2503233970684298,0.5003232925503567,0.38638551568998114,0.5061040724550532,0.7169216293703518,100,0,"(2113, 25)","(529, 25)",25,MDR1_ER
0.24504619534420508,0.495021408975617,0.3854137519659735,0.5165161572659479,0.7250024529567538,100,0,"(2113, 30)","(529, 30)",30,MDR1_ER
